materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;FGV;Qual dispositivo conecta redes geograficamente distantes, escolhendo o melhor caminho (rota) para os pacotes de dados?;Hub.;Switch.;Bridge.;Roteador (Router).;Repetidor.;D
MATEMÁTICA;Equação do 2º Grau (Problema);Múltipla Escolha;ENEM;A soma das raízes de $x^2 - 7x + 10 = 0$ é:;10;7;5;2;-3;B
HISTÓRIA;Primeira República (Política);Múltipla Escolha;VUNESP;A Política do Café com Leite era o acordo de revezamento no poder entre as oligarquias de quais estados?;Rio de Janeiro e Bahia.;Minas Gerais e São Paulo.;São Paulo e Rio Grande do Sul.;Rio de Janeiro e São Paulo.;Minas Gerais e Rio Grande do Sul.;B
GEOGRAFIA;Clima (Tipos);Múltipla Escolha;VUNESP;O clima que abrange a maior parte da Amazônia, com altas temperaturas e chuvas abundantes e bem distribuídas o ano todo, é o:;Tropical de Altitude.;Subtropical.;Equatorial Úmido.;Semiárido.;Tropical Típico.;C
PORTUGUÊS;Regência (Verbo Aspirar);Múltipla Escolha;FGV;A regência está correta em:;O jovem aspira a ser médico.;O jovem aspira ser médico.;O jovem aspira ao ser médico.;O jovem aspira em ser médico.;O jovem aspira por ser médico.;A
DIREITO CONSTITUCIONAL;Reforma (Cláusulas Pétreas);Certo/Errado;CESPE;O voto secreto, direto, universal e periódico é uma cláusula pétrea, não podendo ser abolido por emenda constitucional.;Certo;Errado;;;;Certo
INFORMÁTICA;Banco de Dados (Chave Estrangeira);Múltipla Escolha;VUNESP;Em um banco de dados relacional, o campo que liga duas tabelas, fazendo referência à chave primária de outra tabela, é a:;Chave candidata.;Chave primária.;Chave estrangeira (Foreign Key).;Chave única.;Chave composta.;C
MATEMÁTICA;Progressão Geométrica (PG) (Razão);Múltipla Escolha;FGV;Qual a razão de uma PG onde o 1º termo é 3 e o 3º termo é 27?;3;9;6;24;1;A
HISTÓRIA;Guerra Fria (Consequências);Múltipla Escolha;ENEM;O colapso da União Soviética e o fim da Guerra Fria resultaram no(a):;Início do sistema bipolar.;Aumento da influência americana (unipolaridade).;Ruptura do bloco capitalista.;Criação da OTAN.;Crescimento do comunismo na Europa.;B
GEOGRAFIA;População (Conceito);Múltipla Escolha;FGV;A PEA (População Economicamente Ativa) engloba as pessoas que estão em idade de trabalhar e:;Estão apenas empregadas formalmente.;Estão ocupadas ou procurando emprego.;São menores de 18 anos.;Estão desempregadas e não procuram trabalho.;São aposentadas.;B
PORTUGUÊS;Sintaxe (Adjunto Adnominal);Múltipla Escolha;VUNESP;Na frase "A nossa casa amarela é bonita", o termo sublinhado é:;Objeto direto.;Adjunto adnominal.;Complemento nominal.;Predicativo do sujeito.;Aposto.;B
DIREITO ADMINISTRATIVO;Servidor (Vitaliciedade);Certo/Errado;CESPE;A vitaliciedade é uma garantia constitucional concedida a todos os servidores públicos após 3 anos de estágio probatório.;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança (Firewall);Múltipla Escolha;ENEM;Qual elemento de segurança opera filtrando o tráfego de dados entre redes, bloqueando acessos não autorizados?;Antivírus.;Roteador.;Firewall.;Servidor DNS.;Memória RAM.;C
MATEMÁTICA;Geometria Analítica (Reta);Múltipla Escolha;VUNESP;O coeficiente angular da reta que passa pelos pontos (1, 2) e (3, 6) é:;1;2;3;4;5;B
HISTÓRIA;Brasil Império (Escravidão);Múltipla Escolha;FGV;O movimento abolicionista ganhou força no final do Segundo Reinado devido a fatores como:;A Lei Eusébio de Queirós e a pressão inglesa.;A Guerra do Paraguai e a pressão da Igreja.;A Lei Áurea.;O aumento da imigração e o desejo de modernização.;Tanto A quanto D estão corretas.;E
GEOGRAFIA;Recursos Naturais (Não-Renovável);Múltipla Escolha;ENEM;O gás natural é uma fonte de energia fóssil que tem como principal vantagem ambiental, em comparação com o carvão e o petróleo:;Ser renovável.;Emitir menos poluentes na queima.;Ser mais barato.;Ser mais fácil de transportar.;Não ser explosivo.;B
PORTUGUÊS;Conectivos (Aditiva);Múltipla Escolha;VUNESP;A conjunção que estabelece uma relação de adição é:;Contudo.;Portanto.;Ou.;Nem.;Apesar de.;D
DIREITO CONSTITUCIONAL;Imunidade (Partidos);Certo/Errado;CESPE;Os partidos políticos, inclusive suas fundações, têm direito à imunidade tributária em relação aos impostos sobre o patrimônio, a renda e os serviços, desde que atendidos os requisitos da lei.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Compilador);Múltipla Escolha;FGV;O software que traduz o código-fonte inteiro para código de máquina de uma só vez, gerando um executável, é o:;Interpretador.;Compilador.;Sistema Operacional.;Linker.;Assembly.;B
MATEMÁTICA;Juros Compostos (Cálculo);Múltipla Escolha;VUNESP;Um capital de R$ 2.000,00 aplicado a 10% de juros compostos por 2 anos resulta em um montante de:;R$ 2.400,00;R$ 2.420,00;R$ 2.200,00;R$ 2.500,00;R$ 2.100,00;B
HISTÓRIA;Revolução Industrial (Invenção);Múltipla Escolha;ENEM;A invenção do tear mecânico foi fundamental para qual setor da indústria na Primeira Revolução Industrial?;Siderúrgico.;Químico.;Têxtil.;Naval.;Alimentício.;C
GEOGRAFIA;Globalização (Financeiro);Múltipla Escolha;FGV;O fluxo mais intenso e rápido da Globalização é o de:;Mercadorias.;Ideias.;Capital e informações financeiras.;Pessoas (migrações).;Matéria-prima.;C
PORTUGUÊS;Sintaxe (Adjunto Adverbial);Múltipla Escolha;VUNESP;Na frase "Viajaremos amanhã", o termo sublinhado é adjunto adverbial de:;Lugar.;Modo.;Tempo.;Causa.;Intensidade.;C
DIREITO ADMINISTRATIVO;Princípios (Supremacia);Certo/Errado;CESPE;O princípio da supremacia do interesse público sobre o privado é absoluto e não admite exceções.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Topologia);Múltipla Escolha;ENEM;A topologia de rede que oferece maior redundância e tolerância a falhas, pois todos os dispositivos estão conectados a todos, é a:;Barra.;Estrela.;Anel.;Malha (Mesh).;Árvore.;D
MATEMÁTICA;Geometria (Polígono);Múltipla Escolha;FGV;Um hexágono tem quantos lados e vértices?;5;6;7;8;9;B
HISTÓRIA;Império Romano (Pax Romana);Múltipla Escolha;VUNESP;O período conhecido como Pax Romana, durante o Império Romano, foi marcado por:;Guerras constantes.;Instabilidade política.;Relativa paz e prosperidade econômica.;Perseguição aos cristãos.;Queda do Império.;C
GEOGRAFIA;Climas (Brasil);Múltipla Escolha;VUNESP;O clima predominante no interior do Brasil, com verões chuvosos e invernos secos, é o:;Equatorial.;Tropical Típico.;Subtropical.;Semiárido.;Temperado.;B
PORTUGUÊS;Concordância (Casos Especiais);Múltipla Escolha;FGV;A concordância verbal está incorreta em:;Se faz necessário os ajustes.;Fazem dois meses que ele viajou.;Choveu muito ontem.;Mais de um candidato se inscreveu.;Bateu dez horas o relógio.;A
DIREITO CONSTITUCIONAL;Direito de Reunião;Certo/Errado;CESPE;Todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Freeware);Múltipla Escolha;VUNESP;O Freeware é distribuído gratuitamente, mas o autor geralmente retém os direitos autorais e o código-fonte é fechado.;Certo;Errado;;;;Certo
MATEMÁTICA;Equação do 1º Grau (Problema);Múltipla Escolha;ENEM;Um número somado ao seu dobro e subtraído por 1 resulta em 14. Qual é esse número?;5;6;7;8;9;C
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;ENEM;O êxodo rural intensivo no século XIX foi uma consequência do(a):;Invenção do telefone.;Mecanização do campo e atração das cidades industriais.;Fim da escravidão.;Guerras napoleônicas.;Criação da União Soviética.;B
GEOGRAFIA;Recursos Minerais (Reservas);Múltipla Escolha;VUNESP;O Brasil é um dos maiores produtores mundiais de:;Petróleo e ouro.;Ferro, bauxita e manganês.;Carvão mineral e cobre.;Gás natural e urânio.;Diamantes e prata.;B
PORTUGUÊS;Vozes Verbais (Reflexiva);Múltipla Escolha;FGV;A frase que está na voz reflexiva é:;O muro foi construído.;Eles se abraçaram.;Precisa-se de ajuda.;O aluno feriu-se com a caneta.;Tanto B quanto D estão corretas.;E
DIREITO ADMINISTRATIVO;Licitação (Finalidade);Certo/Errado;CESPE;A finalidade da licitação é selecionar a proposta mais vantajosa para a Administração Pública.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Malware);Múltipla Escolha;FGV;Um vírus que altera o setor de inicialização do disco rígido é um:;Vírus de arquivo.;Vírus de macro.;Vírus de boot.;Worm.;Trojan.;C
MATEMÁTICA;Probabilidade (Eventos);Múltipla Escolha;VUNESP;A probabilidade de um evento impossível é:;1;0;0,5;1/2;2;B
HISTÓRIA;Segunda Guerra Mundial (Aliança);Múltipla Escolha;ENEM;A Tríplice Aliança (Alemanha, Áustria-Hungria e Itália) e a Tríplice Entente (França, Reino Unido e Rússia) foram alianças formadas antes da:;Guerra Fria.;Primeira Guerra Mundial.;Revolução Francesa.;Crise de 1929.;Revolução Russa.;B
GEOGRAFIA;Geopolítica (Conflitos);Múltipla Escolha;FGV;O conflito na Caxemira envolve disputas territoriais entre quais países?;China e Rússia.;Índia e Paquistão.;Coreia do Norte e Coreia do Sul.;Irã e Iraque.;Turquia e Síria.;B
PORTUGUÊS;Ortografia (Mal/Mau);Múltipla Escolha;FGV;Assinale a frase incorreta.;Ele está de mau humor.;O mal-estar passou rápido.;Ele agiu de má fé.;É um mau momento para investir.;Ele é um mal amigo.;E
DIREITO CONSTITUCIONAL;Direito à Vida;Certo/Errado;CESPE;A pena de morte é vedada, exceto em caso de guerra declarada, nos termos do art. 84, XIX, da Constituição Federal.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;Qual termo descreve a taxa de transferência de dados em uma rede, geralmente medida em bits por segundo (bps)?;Latência.;Protocolo.;Topologia.;Banda (Bandwidth).;Roteamento.;D
MATEMÁTICA;Geometria Analítica (Distância);Múltipla Escolha;ENEM;A distância entre o ponto (0, 0) e o ponto (3, 4) é:;3;4;5;7;1;C
HISTÓRIA;Brasil República (Voto);Múltipla Escolha;VUNESP;Na Primeira República, o voto era:;Secreto e universal.;Aberto (não secreto) e restrito (apenas homens alfabetizados);Obrigatório para todos.;Restrito a homens ricos.;Facultativo para mulheres.;B
GEOGRAFIA;Urbanização (Metropolização);Múltipla Escolha;ENEM;O processo que resulta na formação de uma megalópole é a união física de:;Duas cidades médias.;Duas ou mais metrópoles.;Áreas rurais.;Cidades planejadas.;Zonas industriais.;B
PORTUGUÊS;Concordância (Verbo Ser);Múltipla Escolha;FGV;A concordância verbal está correta em:;Oito horas é pouco para o trabalho.;Dez quilos de frutas são o suficiente.;O resto dos problemas é comigo.;Fomos nós quem resolvemos o caso.;Tanto C quanto D estão corretas.;E
DIREITO ADMINISTRATIVO;Atos (Atributos);Certo/Errado;CESPE;A imperatividade é o atributo do ato administrativo que impõe a sua observância a terceiros, independentemente de sua concordância.;Certo;Errado;;;;Certo
INFORMÁTICA;Planilhas (Funções);Múltipla Escolha;VUNESP;Qual função retorna a média aritmética de um intervalo de células?;SOMA.;MÁXIMO.;SE.;MÉDIA.;CONT.NÚM.;D
MATEMÁTICA;Produtos Notáveis (Cálculo);Múltipla Escolha;FGV;O resultado de $(x + 2)^2$ é:;$x^2 + 4$;$x^2 + 4x + 4$;$x^2 + 2x + 4$;$x^2 + 2$;$x^2 + 4x + 2$;B
HISTÓRIA;Revolução Industrial (Condições);Múltipla Escolha;ENEM;A principal causa das péssimas condições de vida dos operários no início da Revolução Industrial foi a:;Intervenção estatal.;Ausência de legislação trabalhista e a exploração.;Baixa produção.;Alta qualificação da mão de obra.;Escassez de matérias-primas.;B
GEOGRAFIA;Meio Ambiente (Água);Múltipla Escolha;VUNESP;A poluição das águas por esgoto doméstico e industrial, causando a proliferação de algas e a diminuição de oxigênio na água, é chamada de:;Erosão.;Intemperismo.;Eutrofização.;Assoreamento.;Lixiviação.;C
PORTUGUÊS;Voz Passiva (Sintética);Múltipla Escolha;VUNESP;O verbo na frase "Contratam-se bons profissionais" concorda com:;O sujeito indeterminado.;O objeto direto.;O sujeito paciente.;O agente da passiva.;A partícula "se".;C
DIREITO CONSTITUCIONAL;Direito de Informação;Certo/Errado;CESPE;É assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Topologia);Múltipla Escolha;FGV;Qual topologia de rede tem o cabo principal como espinha dorsal, onde todos os dispositivos se conectam?;Estrela.;Anel.;Barra (Bus).;Malha.;Árvore.;C
MATEMÁTICA;Logaritmos (Propriedades);Múltipla Escolha;ENEM;Se $\log(x) = 2$ e $\log(y) = 4$, o valor de $\log(\frac{y}{x})$ é:;2;6;8;0,5;0,25;A
HISTÓRIA;Guerra Fria (Corrida);Múltipla Escolha;FGV;O primeiro satélite artificial a ser lançado em órbita (Sputnik, 1957) foi de qual nação?;EUA.;URSS.;China.;Alemanha.;Japão.;B
GEOGRAFIA;Fontes de Energia (Renovável);Múltipla Escolha;VUNESP;Qual fonte de energia renovável utiliza o calor proveniente do interior da Terra?;Hidrelétrica.;Solar.;Eólica.;Geotérmica.;Biomassa.;D
PORTUGUÊS;Colocação Pronominal (Fatores);Múltipla Escolha;FGV;O fator de próclise (atração pronominal) presente na frase "Não me disseram nada" é:;Verbo no futuro.;Pronome indefinido.;Palavra negativa.;Conjunção subordinativa.;Interrogativo.;C
DIREITO ADMINISTRATIVO;Licitação (Princípio);Certo/Errado;CESPE;O princípio da igualdade entre os licitantes é fundamental na licitação, vedando-se cláusulas que restrinjam a competitividade.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Malware);Múltipla Escolha;VUNESP;Um software malicioso que se instala em um computador sem que o usuário perceba, frequentemente disfarçado de programa útil, é um:;Worm.;Vírus.;Cavalo de Troia (Trojan).;Rootkit.;Spyware.;C
MATEMÁTICA;Área (Trapézio);Múltipla Escolha;ENEM;Um trapézio tem bases 4 cm e 6 cm e altura 5 cm. A área é:;25 cm²;50 cm²;15 cm²;20 cm²;10 cm²;A
HISTÓRIA;Revolução Industrial (Inglaterra);Múltipla Escolha;VUNESP;A Inglaterra foi pioneira na Revolução Industrial por possuir grandes reservas de:;Petróleo.;Gás natural.;Carvão mineral e ferro.;Ouro e prata.;Bauxita.;C
GEOGRAFIA;População (Conceito);Múltipla Escolha;ENEM;A taxa de fecundidade é o número médio de filhos que uma mulher tem:;Ao longo de sua vida.;Durante a adolescência.;Em um período de dez anos.;Após os 40 anos.;Em relação à taxa de mortalidade.;A
PORTUGUÊS;Regência Verbal (Verbo Custar);Múltipla Escolha;FGV;A regência está correta em:;Custei para entender a matéria.;Custou-me entender a matéria.;Custo a entender a matéria.;Me custou entender a matéria.;Custei-me a entender a matéria.;B
DIREITO CONSTITUCIONAL;Direito de Propriedade (Função Social);Certo/Errado;CESPE;A função social da propriedade rural é cumprida quando a exploração favorece apenas o interesse econômico do proprietário.;Certo;Errado;;;;Errado
INFORMÁTICA;Backup (Incremental);Múltipla Escolha;VUNESP;Qual tipo de backup é mais rápido para a criação, mas mais lento para a restauração, pois exige o backup completo mais todos os incrementais?;Completo.;Diferencial.;Incremental.;Espelho.;Sintético.;C
MATEMÁTICA;Equação do 2º Grau (Soma);Múltipla Escolha;FGV;A soma das raízes da equação $2x^2 + 4x - 6 = 0$ é:;2;-2;4;-4;-6;B
HISTÓRIA;Revolução Russa (Fases);Múltipla Escolha;VUNESP;A fase da Revolução Russa de 1917 que levou os bolcheviques ao poder e prometeu "Paz, Terra e Pão" é a Revolução de:;Fevereiro.;Março.;Outubro.;Julho.;Abril.;C
GEOGRAFIA;Regionalização (Mundo);Múltipla Escolha;FGV;A regionalização mais tradicional do mundo, ainda em uso, divide os países em:;Norte e Sul.;Desenvolvidos e Subdesenvolvidos.;Primeiro, Segundo e Terceiro Mundo (baseada na Guerra Fria).;Oriental e Ocidental.;Produtores de Petróleo e Não-Produtores.;B
PORTUGUÊS;Sintaxe (Oração Subordinada);Múltipla Escolha;VUNESP;Na frase "É essencial que você estude", a oração sublinhada é subordinada substantiva:;Objetiva direta.;Predicativa.;Subjetiva.;Completiva nominal.;Apositiva.;C
DIREITO ADMINISTRATIVO;Princípio da Eficiência;Certo/Errado;CESPE;O princípio da eficiência foi introduzido na Constituição Federal pela Emenda Constitucional nº 19/98.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;ENEM;O termo "Intranet" se refere a uma rede de computadores que:;É aberta a todos os usuários da internet.;Utiliza os mesmos protocolos da internet, mas é restrita ao uso interno de uma organização.;É uma rede pública e gratuita.;É usada apenas para e-mail.;É um tipo de rede wireless.;B
MATEMÁTICA;Sequências (PG);Múltipla Escolha;VUNESP;O 5º termo da PG (1, 3, 9, ...) é:;18;27;36;81;243;D
HISTÓRIA;Independência do Brasil (Período);Múltipla Escolha;FGV;O período que antecedeu a Independência do Brasil (1822) e foi marcado pela permanência da Família Real no Rio de Janeiro é o:;República Velha.;Período Colonial.;Período Joanino.;Segundo Reinado.;Período Regencial.;C
GEOGRAFIA;Transportes (Modal);Múltipla Escolha;VUNESP;O modal de transporte que possui o menor custo por tonelada transportada a longas distâncias, sendo ideal para grandes volumes de minérios e grãos, é o:;Rodoviário.;Aéreo.;Ferroviário.;Hidroviário (Marítimo).;Dutoviário.;D
PORTUGUÊS;Interpretação (Denotação/Conotação);Múltipla Escolha;ENEM;Na manchete "O dólar disparou hoje", a palavra em destaque está no sentido:;Denotativo.;Conotativo.;Literal.;Figurado.;Poético.;A
DIREITO CONSTITUCIONAL;Nacionalidade (Casos);Certo/Errado;CESPE;São brasileiros natos os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Não-Repúdio);Múltipla Escolha;FGV;O princípio da Segurança da Informação que garante que o remetente não pode negar a autoria de uma mensagem ou transação é o:;Confidencialidade.;Integridade.;Disponibilidade.;Não-repúdio.;Autenticidade.;D
MATEMÁTICA;Geometria Analítica (Coeficiente Angular);Múltipla Escolha;FGV;O coeficiente angular da reta $y = 5x - 3$ é:;5;-3;0;1;8;A
HISTÓRIA;Guerra Fria (Doutrina);Múltipla Escolha;VUNESP;A Doutrina Truman foi a política americana que visava:;Afastar-se dos assuntos europeus.;Conter o avanço do comunismo no mundo.;Invadir Cuba.;Promover a descolonização da África.;Criar a ONU.;B
GEOGRAFIA;Meio Ambiente (Recursos);Múltipla Escolha;ENEM;A exploração insustentável de recursos naturais renováveis pode levar à sua escassez ou extinção, como a:;Formação do petróleo.;Exploração de minérios.;Pesca excessiva ou desmatamento.;Energia solar.;Geotermia.;C
PORTUGUÊS;Conectivos (Causa);Múltipla Escolha;VUNESP;Qual conectivo expressa causa?;Conquanto;Embora;Visto que;Portanto;Se;C
DIREITO ADMINISTRATIVO;Princípio da Legalidade;Certo/Errado;CESPE;No Direito Administrativo, a legalidade é mais restritiva que no Direito Privado, pois o administrador só pode fazer o que a lei autoriza.;Certo;Errado;;;;Certo
INFORMÁTICA;Malwares (Tipos);Múltipla Escolha;ENEM;O tipo de software malicioso que criptografa os arquivos do usuário e exige um pagamento para liberá-los é conhecido como:;Vírus de macro.;Spyware.;Adware.;Ransomware.;Phishing.;D
MATEMÁTICA;Área (Retângulo);Múltipla Escolha;VUNESP;Um retângulo tem área de $48$ cm² e largura de 6 cm. Qual o seu comprimento?;4 cm;6 cm;8 cm;10 cm;12 cm;C
HISTÓRIA;Revolução Industrial (Invenção);Múltipla Escolha;FGV;A invenção do motor de combustão interna e o uso do petróleo marcaram a:;Primeira Revolução Industrial.;Segunda Revolução Industrial.;Terceira Revolução Industrial.;Revolução Agrícola.;Idade Média.;B
GEOGRAFIA;Climas (Tipos);Múltipla Escolha;VUNESP;O clima que abrange a costa do Nordeste e tem chuvas concentradas no outono-inverno devido à atuação da Massa Tropical Atlântica é o:;Semiárido.;Equatorial.;Tropical Litorâneo Úmido.;Tropical de Altitude.;Subtropical.;C
PORTUGUÊS;Regência (Verbo Obedecer);Múltipla Escolha;FGV;A regência está correta em:;O aluno obedeceu o regulamento.;O aluno obedeceu ao regulamento.;O aluno obedeceu no regulamento.;O aluno obedeceu para o regulamento.;O aluno obedeceu do regulamento.;B
DIREITO CONSTITUCIONAL;Direito Social (Lazer);Certo/Errado;CESPE;O lazer é considerado um direito social, nos termos da Constituição Federal.;Certo;Errado;;;;Certo
INFORMÁTICA;Hardware (Memória);Múltipla Escolha;ENEM;Qual memória não perde seu conteúdo ao desligar o computador?;RAM.;Cache.;ROM.;Virtual.;Swap.;C
MATEMÁTICA;Função Afim (Gráfico);Múltipla Escolha;ENEM;No gráfico de uma função afim $y = ax + b$, o coeficiente $b$ representa:;A inclinação da reta.;O ponto onde a reta cruza o eixo x.;O ponto onde a reta cruza o eixo y.;O valor máximo da função.;O valor mínimo da função.;C
HISTÓRIA;Revolução Francesa (Fases);Múltipla Escolha;VUNESP;A Queda da Bastilha, em 14 de julho de 1789, é considerada o marco inicial da:;Revolução Industrial.;Revolução Russa.;Revolução Francesa.;Guerra Fria.;Primeira Guerra Mundial.;C
GEOGRAFIA;Globalização (Aspecto);Múltipla Escolha;ENEM;A padronização de hábitos de consumo em diferentes partes do mundo é um aspecto da globalização que se manifesta mais intensamente no âmbito:;Político.;Cultural.;Militar.;Econômico.;Ambiental.;B
PORTUGUÊS;Voz Passiva (Sintética);Múltipla Escolha;FGV;Transforme "Vende-se casa" para a voz passiva analítica.;A casa foi vendida.;A casa é vendida.;Venderam a casa.;Eles venderam a casa.;A casa estava sendo vendida.;B
DIREITO ADMINISTRATIVO;Concurso (Prazo);Certo/Errado;CESPE;O prazo de validade do concurso público é de até dois anos, prorrogável uma vez, por igual período.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Princípios);Múltipla Escolha;VUNESP;A Integridade de uma informação é comprometida quando:;Ela é acessada por não autorizados.;Ela não está disponível.;Ela é modificada de forma não autorizada.;O remetente nega a autoria.;O destinatário não a recebe.;C
MATEMÁTICA;Progressão Aritmética (PA) (Termo);Múltipla Escolha;VUNESP;O 7º termo da PA (3, 7, 11, ...) é:;27;23;31;25;35;B
HISTÓRIA;Período Colonial (Economia);Múltipla Escolha;ENEM;A economia colonial brasileira no século XVII e XVIII foi marcada pela monocultura do açúcar e, posteriormente, pela:;Exploração do carvão.;Mineração de ouro e diamantes.;Industrialização.;Criação de gado no Sul.;Criação da Petrobras.;B
GEOGRAFIA;Recursos Hídricos (Bacias);Múltipla Escolha;FGV;A Bacia do Rio São Francisco é importante por:;Ser a maior do mundo em volume de água.;Cortar o semiárido, sendo vital para o Nordeste.;Ser totalmente navegável.;Ter sua foz no Sudeste.;Possuir apenas rios temporários.;B
PORTUGUÊS;Ortografia (Mas/Mais);Múltipla Escolha;VUNESP;O uso de "mas" e "mais" está incorreto em:;Ele queria mais doces, mas a loja fechou.;Ele tem mas livros, mas não lê.;Ela é mais rápida, mas cansou.;Mais dinheiro traz mais responsabilidade.;Ele correu mais, mas não alcançou.;B
DIREITO CONSTITUCIONAL;Imunidade Parlamentar;Certo/Errado;CESPE;Os Deputados Federais e Senadores são invioláveis por suas opiniões, palavras e votos, no exercício do mandato e fora dele.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;A latência em uma rede de computadores se refere ao:;Volume de dados transferidos.;Atraso na transmissão de dados.;Protocolo de segurança.;Velocidade do processador.;Endereçamento IP.;B
MATEMÁTICA;Geometria (Área);Múltipla Escolha;FGV;A área de um triângulo equilátero de lado 4 cm é:;$4\sqrt{3}$ cm²;$8\sqrt{3}$ cm²;$16$ cm²;$2\sqrt{3}$ cm²;$4$ cm²;A
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;ENEM;A jornada de trabalho exaustiva e o trabalho infantil nas fábricas inglesas do século XIX são exemplos da:;Filantropia industrial.;Exploração da mão de obra.;Regulamentação trabalhista.;Política de pleno emprego.;Distribuição de renda.;B
GEOGRAFIA;População (Conceito);Múltipla Escolha;VUNESP;A "pirâmide etária" é um gráfico que representa a distribuição da população por:;Renda e gênero.;Sexo e faixa etária.;Etnia e religião.;Grau de instrução e sexo.;Região e faixa etária.;B
PORTUGUÊS;Sintaxe (Conjunção);Múltipla Escolha;FGV;A conjunção que expressa a ideia de conformidade é:;Conquanto;Se;Segundo;Contudo;Portanto;C
DIREITO ADMINISTRATIVO;Anulação;Certo/Errado;CESPE;A anulação do ato administrativo ilegal é um poder-dever da Administração Pública.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Firewall);Múltipla Escolha;ENEM;A principal função do firewall em um computador pessoal é:;Acelerar a conexão de internet.;Monitorar e controlar o acesso entre a rede interna e a externa.;Realizar backups automáticos.;Criptografar e-mails.;Gerenciar arquivos.;B
MATEMÁTICA;Função de 2º Grau (Vértice);Múltipla Escolha;VUNESP;A função $f(x) = x^2 - 6x + 8$ tem o x do vértice em:;3;-3;6;-6;2;A
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;VUNESP;O Plano Marshall (EUA) e o COMECON (URSS) foram iniciativas que representaram a oposição econômica e a busca por influência na:;América Latina.;Europa.;África.;Ásia.;Oriente Médio.;B
GEOGRAFIA;Meio Ambiente (Clorofluorcarboneto);Múltipla Escolha;ENEM;O uso de Clorofluorcarbonetos (CFCs) esteve ligado primariamente à destruição da:;Camada de Ozônio.;Biosfera.;Hidrosfera.;Troposfera.;Estratosfera.;A
PORTUGUÊS;Regência (Verbo Implicar);Múltipla Escolha;VUNESP;O uso do verbo "implicar" está correto em:;O aumento de salário implica em mais responsabilidade.;O aumento de salário implica mais responsabilidade.;O aumento de salário implicou para mais responsabilidade.;O aumento de salário implicou com mais responsabilidade.;O aumento de salário implicou no mais responsabilidade.;B
DIREITO CONSTITUCIONAL;Direito Social (Trabalho);Certo/Errado;CESPE;São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social, o salário mínimo, irredutível, fixado em lei, nacionalmente unificado, capaz de atender às suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim.;Certo;Errado;;;;Certo
INFORMÁTICA;Banco de Dados (SQL);Múltipla Escolha;FGV;Em SQL, qual comando é usado para alterar a estrutura de uma tabela existente?;UPDATE.;ALTER TABLE.;MODIFY.;INSERT.;DELETE.;B
MATEMÁTICA;Sequências (PA);Múltipla Escolha;ENEM;O 20º termo da PA (1, 4, 7, ...) é:;58;60;61;62;64;A
HISTÓRIA;Brasil Império (Independência);Múltipla Escolha;VUNESP;A Independência do Brasil (1822) resultou na adoção da forma de governo:;República Oligárquica.;Monarquia Constitucional.;República Presidencialista.;Ditadura.;Monarquia Absolutista.;B
GEOGRAFIA;Urbanização (Metrópole);Múltipla Escolha;ENEM;A principal função de uma metrópole é:;Ser um centro de produção agrícola.;Centralizar serviços, informações e decisões, exercendo influência sobre as cidades vizinhas.;Ser apenas uma cidade-dormitório.;Servir como centro de distribuição de minérios.;Ter apenas população idosa.;B
PORTUGUÊS;Sintaxe (Objeto Indireto);Múltipla Escolha;VUNESP;Na frase "Necessitamos de ajuda", o termo sublinhado é:;Objeto direto.;Objeto indireto.;Complemento nominal.;Adjunto adverbial.;Aposto.;B
